NIR;FWI;DataAlerta;NIRAnt;AAAnt;FWIAnt
73;15.16800835;20-08-2001;78;59.2558;19.9075205
140;19.32980858;21-08-2001;73;76.434;15.16800835
179;18.18916524;22-08-2001;140;498.2471;19.32980858
181;17.53634609;23-08-2001;179;683.9621;18.18916524
269;19.99884164;24-08-2001;181;945.5655;17.53634609
372;27.42155816;25-08-2001;269;2604.299;19.99884164
253;7.075992204;26-08-2001;372;6851.1957;27.42155816
148;6.726155247;27-08-2001;253;600.6009;7.075992204
76;9.908322944;28-08-2001;148;141.7295;6.726155247
88;11.07656173;29-08-2001;76;25.3732;9.908322944
124;12.23790485;30-08-2001;88;70.3789;11.07656173
180;16.53405686;31-08-2001;124;219.8817;12.23790485
254;15.22897898;01-09-2001;180;521.7206;16.53405686
485;16.79789825;02-09-2001;254;1352.9483;15.22897898
362;17.28989637;03-09-2001;485;1947.781;16.79789825
360;16.53495195;04-09-2001;362;892.984401;17.28989637
404;18.37362494;05-09-2001;360;2597.6852;16.53495195
397;15.20739115;06-09-2001;404;2148.4654;18.37362494
517;23.34409602;07-09-2001;397;877.6392;15.20739115
328;28.35563439;08-09-2001;517;1469.25771;23.34409602
684;22.54396519;09-09-2001;328;2939.0133;28.35563439
489;19.75620052;10-09-2001;684;7752.74131;22.54396519
381;18.42211423;11-09-2001;489;605.4645;19.75620052
269;15.41233647;12-09-2001;381;584.046711;18.42211423
280;17.4865319;13-09-2001;269;3610.3208;15.41233647
360;22.39426813;14-09-2001;280;1165.1146;17.4865319
498;26.58611299;15-09-2001;360;716.5911;22.39426813
742;27.34815278;16-09-2001;498;715.4290012;26.58611299
529;28.91951369;17-09-2001;742;2926.613101;27.34815278
527;32.76760716;18-09-2001;529;5733.049901;28.91951369
517;28.27955821;19-09-2001;527;1706.6621;32.76760716
348;23.08158187;20-09-2001;517;2006.817402;28.27955821
45;2.964170785;21-09-2001;348;558.9932001;23.08158187
8;0.220750371;22-09-2001;45;1287.7191;2.964170785
23;0.276795646;23-09-2001;8;2.155;0.220750371
35;3.267438433;24-09-2001;23;6.815;0.276795646
49;4.224845934;25-09-2001;35;19.485;3.267438433
63;8.771711289;26-09-2001;49;39.86;4.224845934
80;11.15355857;27-09-2001;63;63.801;8.771711289
21;15.03967608;28-09-2001;80;193.529;11.15355857
13;0.212985218;29-09-2001;21;51.677;15.03967608
39;2.405742319;30-09-2001;13;11.22;0.212985218
17;5.73841095;01-10-2001;39;70.0799;2.405742319
12;6.664501465;02-10-2001;17;49.605;5.73841095
15;5.100811444;03-10-2001;12;16.131;6.664501465
39;7.593161458;04-10-2001;15;26.43;5.100811444
1;18.03455086;05-10-2001;39;68.2261;7.593161458
2;0.389276811;06-10-2001;1;4;18.03455086
7;3.698503069;07-10-2001;2;2.09;0.389276811
3;0.633415447;08-10-2001;7;10;3.698503069
2;0.589635604;09-10-2001;3;0.061;0.633415447
27;4.061358438;10-10-2001;2;0.06;0.589635604
42;4.938543566;11-10-2001;27;38.476;4.061358438
3;0.019569222;12-10-2001;42;203.6951;4.938543566
6;0.369105874;13-10-2001;3;3.2;0.019569222
14;2.205018535;14-10-2001;6;4.33;0.369105874
3;0.194772505;15-10-2001;14;7.1072;2.205018535
6;1.127688872;16-10-2001;3;0.02;0.194772505
4;0.12155211;18-10-2001;0;0;0
1;1.07E-07;22-10-2001;0;0;0
1;0.003026087;23-10-2001;1;0.5;1.07E-07
3;0.394568319;24-10-2001;1;0;0.003026087
3;0.567705259;25-10-2001;3;1.07;0.394568319
1;0.982788866;26-10-2001;3;1.5;0.567705259
7;3.464593853;27-10-2001;1;0;0.982788866
13;1.734258786;28-10-2001;7;16.021;3.464593853
16;3.379402346;29-10-2001;13;8.1111;1.734258786
23;5.732184523;30-10-2001;16;12.3101;3.379402346
16;5.096202444;31-10-2001;23;40.5531;5.732184523
40;7.052186854;01-11-2001;16;4.9181;5.096202444
42;8.430276989;02-11-2001;40;33.7016;7.052186854
34;7.045869417;03-11-2001;42;71.2011;8.430276989
40;6.350693574;04-11-2001;34;48.6654;7.045869417
43;9.954398591;05-11-2001;40;27.7932;6.350693574
36;8.088555825;06-11-2001;43;101.401;9.954398591
42;7.621919764;07-11-2001;36;38.6001;8.088555825
70;7.44596725;08-11-2001;42;26.5051;7.621919764
91;15.46263076;09-11-2001;70;113.6471;7.44596725
76;15.05012966;10-11-2001;91;87.9252;15.46263076
97;9.418326872;11-11-2001;76;48.4893;15.05012966
49;8.265778123;12-11-2001;97;79.9461;9.418326872
35;8.693345123;13-11-2001;49;51.836;8.265778123
81;14.22558452;14-11-2001;35;25.786;8.693345123
89;15.25616046;15-11-2001;81;55.7521;14.22558452
47;8.353612482;16-11-2001;89;156.9915;15.25616046
31;5.811009367;17-11-2001;47;36.0715;8.353612482
19;0.608368892;18-11-2001;31;16.046;5.811009367
8;1.484961433;19-11-2001;19;5.2635;0.608368892
20;3.49122507;20-11-2001;8;3.556;1.484961433
25;6.099049179;21-11-2001;20;9.007;3.49122507
38;8.519633864;22-11-2001;25;18.365;6.099049179
61;11.15594396;23-11-2001;38;39.4205;8.519633864
51;8.246128072;24-11-2001;61;66.499;11.15594396
62;7.499790679;25-11-2001;51;37.266;8.246128072
18;5.345935104;26-11-2001;62;46.687;7.499790679
9;4.924849265;27-11-2001;18;3.958;5.345935104
10;2.533530619;28-11-2001;9;3.47;4.924849265
11;2.693704611;29-11-2001;10;0.873;2.533530619
7;3.106850559;30-11-2001;11;4.19;2.693704611
11;2.967969059;01-12-2001;7;10.23;3.106850559
23;3.223571779;02-12-2001;11;0.431;2.967969059
8;2.999567254;03-12-2001;23;2.061;3.223571779
14;3.304543417;04-12-2001;8;0.465;2.999567254
12;4.27801301;05-12-2001;14;1.1911;3.304543417
23;6.392418942;06-12-2001;12;5.54;4.27801301
15;4.19529951;07-12-2001;23;5.666;6.392418942
38;5.768520863;08-12-2001;15;3.23;4.19529951
66;8.091668271;09-12-2001;38;14.338;5.768520863
65;12.39151287;10-12-2001;66;41.8336;8.091668271
